occupation_type,signup_goal,plan_type,signup_discount_used,avg_quiz_score,video_replay_count,course_completion_rate,days_since_last_login,engagement_trend,hands_on_exercises_completed,project_submissions,forum_posts,goal_progress_score,peer_completion_percentile,tenure_months,payment_failures,support_tickets_raised,satisfaction_score,churned,days_to_churn,monthly_price,clv
Working Professional,Certification,Annual,No,60.6,2,61.6,1,0,4,0,1,52.5,47.3,18,0,0,3,0,,10,190
Career Switcher,Certification,Monthly,Yes,73.4,3,69.4,1,0,2,0,0,34.5,58.9,23,1,0,3,0,,15,360
Working Professional,Certification,Annual,No,81.7,0,87.9,1,0,11,1,2,43.7,86.3,5,0,1,4,0,,10,60
Working Professional,Certification,Annual,No,59.0,3,38.0,22,-1,3,0,0,33.0,18.0,4,1,1,3,1,33.0,10,50
Student,Certification,Monthly,No,81.7,1,87.7,47,0,9,5,2,97.5,86.0,5,0,0,4,0,,15,90
Student,Hobby,Annual,Yes,70.8,3,61.4,4,1,3,2,3,85.3,47.1,10,0,0,4,0,,10,110
Student,Hobby,Monthly,Yes,85.7,0,84.8,3,0,8,3,4,61.8,82.5,0,0,1,3,0,,15,15
Career Switcher,Get a Job,Monthly,Yes,67.0,1,33.1,2,1,2,0,3,14.6,13.5,1,0,0,4,0,,15,30
Working Professional,Certification,Annual,No,75.7,1,66.0,17,0,8,0,1,17.7,53.2,19,2,1,3,0,,10,200
Working Professional,Get a Job,Monthly,Yes,69.4,3,91.2,2,-1,3,0,0,10.0,89.9,1,0,2,5,0,,15,30
Student,Certification,Annual,Yes,68.6,1,74.7,25,-1,10,1,0,26.4,67.3,2,0,2,3,0,,10,30
Career Switcher,Get a Job,Annual,No,73.9,3,53.7,11,0,5,4,2,100.0,35.8,22,0,1,3,0,,10,230
Career Switcher,Get a Job,Annual,Yes,78.1,0,79.3,22,-1,5,0,1,10.6,75.1,2,0,1,4,0,,10,30
Student,Certification,Annual,Yes,51.3,2,99.5,8,0,10,2,1,68.2,96.2,2,0,0,5,0,,10,30
Student,Certification,Monthly,Yes,91.5,0,80.7,11,-1,11,5,2,100.0,77.2,20,1,2,4,1,258.0,15,315
Student,Get a Job,Annual,Yes,42.1,8,23.2,9,-1,1,0,0,10.3,7.5,3,0,1,3,1,25.0,10,40
Student,Certification,Monthly,Yes,59.7,5,39.1,17,0,5,1,2,75.6,19.1,5,1,0,4,1,18.0,15,90
Working Professional,Certification,Annual,No,68.6,3,50.3,18,0,5,0,4,29.7,32.1,6,1,0,3,1,23.0,10,70
